ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,day_of_week,month
2013-07-01,16650,16.309987987987991,74.8,78.1,73.4,7.8,0,Monday,7
2013-07-02,22745,15.96882611562981,76.1,82.9,73,8.0,0.73,Tuesday,7
2013-07-03,21864,16.238808086351995,78.5,84.9,73.9,8.8,0.06,Wednesday,7
2013-07-04,22326,21.218473976529605,82,91,73.9,8.6,0.96,Thursday,7
2013-07-05,21842,18.040443488081063,84.4,93,75.9,9.0,0,Friday,7
2013-07-06,20467,19.326261787267306,87,95,77,9.3,0,Saturday,7
2013-07-07,20477,18.638323484885476,88.8,98.1,79,8.8,0,Sunday,7
2013-07-08,21615,21.492164392011716,83.7,98.1,75,8.9,0,Monday,7
2013-07-09,26641,16.098854522477883,82.6,91,75,6.0,0,Tuesday,7
2013-07-10,25732,15.531954375874395,82,91,75,8.7,0.08,Wednesday,7
2013-07-11,24417,16.828634421373085,82.3,91,75,7.6,0.02,Thursday,7
2013-07-12,19006,15.635127503595358,75.4,86,72,9.1,0,Friday,7
2013-07-13,26119,18.615661013055636,71.4,78.1,68,10.5,0.23,Saturday,7
2013-07-14,29287,19.362671151022639,80.2,93.9,69.1,6.0,0.01,Sunday,7
2013-07-15,28069,15.318282328072488,87.2,93.9,72,7.8,0,Monday,7
2013-07-16,29842,15.128550923753997,86.5,93.9,79,7.9,0,Tuesday,7
2013-07-17,30550,14.669449536279325,87.4,97,78.1,4.0,0,Wednesday,7
2013-07-18,28869,14.380492338956438,89.3,100,78.1,6.3,0,Thursday,7
2013-07-19,26591,14.671052862497335,92.5,100,82.9,8.9,0,Friday,7
2013-07-20,25278,17.947821557612681,89.2,100,82.9,11.3,0,Saturday,7
2013-07-21,30297,18.707899021905352,82.2,95,77,7.6,0,Sunday,7
2013-07-22,25979,14.700189255424252,77.1,87.1,75,8.3,0,Monday,7
2013-07-23,32376,15.737208117123792,80,91,75,7.4,0.58,Tuesday,7
2013-07-24,35271,15.592202753914925,79.9,91,75,7.8,0.31,Wednesday,7
2013-07-25,31084,14.937073199502425,68,82.9,64,11.7,0,Thursday,7
2013-07-26,34534,15.667923881778346,71.5,84,64,8.6,0.02,Friday,7
2013-07-27,32470,18.914398419053494,76.9,84,64.9,8.5,0,Saturday,7
2013-07-28,23508,17.54357310986331,74.8,84,71.1,7.6,0,Sunday,7
2013-07-29,34915,15.69145162060242,77.3,89.1,71.1,5.7,0.13,Monday,7
2013-07-30,37334,15.82817985393118,75.9,89.1,70,8.7,0,Tuesday,7
2013-07-31,37261,15.392547167279458,76.1,82,70,6.2,0,Wednesday,7
2013-08-01,20138,13.377141887641935,73.5,82,69.1,7.6,0,Thursday,8
2013-08-02,35792,16.090496479660267,75.5,86,69.1,7.3,0.5,Friday,8
2013-08-03,29540,18.492146806589936,76.4,86,70,8.1,0,Saturday,8
2013-08-04,35253,19.719960003403965,74.6,81,70,8.7,0.01,Sunday,8
2013-08-05,36776,16.118436842868537,71.5,81,64,9.4,0,Monday,8
2013-08-06,37702,16.159205081958515,73.9,82,64,6.3,0,Tuesday,8
2013-08-07,34396,14.686894793968291,74.4,82,66.9,9.5,0,Wednesday,8
2013-08-08,28366,14.319887071376526,75,82,71.1,9.1,0.16,Thursday,8
2013-08-09,29017,15.138192553790308,78.2,89.1,71.1,9.2,0.08,Friday,8
2013-08-10,37201,20.443239877064233,78.3,89.1,72,8.9,0.04,Saturday,8
2013-08-11,33060,19.430590340794513,74.8,84,66.9,5.7,0,Sunday,8
2013-08-12,31457,15.305080480232276,74.8,82,66.9,5.5,0.09,Monday,8
2013-08-13,22437,15.649830636894414,74,82,70,5.3,0.01,Tuesday,8
2013-08-14,38150,15.555132372214942,69.5,78.1,62.1,12.4,0.73,Wednesday,8
2013-08-15,37386,15.298375060182954,69.8,78.1,62.1,8.2,0,Thursday,8
2013-08-16,35991,16.389049114130387,72.6,81,63,3.7,0,Friday,8
2013-08-17,37285,20.104246122211791,73.6,81,66.9,5.2,0,Saturday,8
2013-08-18,27612,16.943679680332224,72.5,81,68,5.2,0,Sunday,8
2013-08-19,33127,14.892281723870759,73.5,80.1,68,5.5,0,Monday,8
2013-08-20,35843,14.974709148229779,77.5,89.1,68,4.5,0,Tuesday,8
2013-08-21,36315,15.09489329478177,81.1,90,70,4.5,0,Wednesday,8
2013-08-22,26629,14.405246786085346,77.5,90,73,5.8,0,Thursday,8
2013-08-23,33503,15.74394830313703,76.2,81,72,9.0,0.24,Friday,8
2013-08-24,32941,18.079671736336682,71.5,81,64,8.9,0,Saturday,8
2013-08-25,31755,19.063203694956172,73.8,82.9,64,4.8,0,Sunday,8
2013-08-26,29979,15.474954134560855,75.3,84,66.9,9.1,0,Monday,8
2013-08-27,34208,15.067807725288432,78.3,86,70,10.6,0.01,Tuesday,8
2013-08-28,28185,14.159055644255222,78,86,73,3.2,0.1,Wednesday,8
2013-08-29,34215,14.313135564323643,74.6,84.9,71.1,7.3,0,Thursday,8
2013-08-30,32318,15.444152897250241,75.4,86,69.1,7.4,0,Friday,8
2013-08-31,25381,17.858579252196524,78.5,86,69.1,8.8,0,Saturday,8
2013-09-01,25235,18.3748913546001,79.6,86,73,8.0,0,Sunday,9
2013-09-02,21416,16.858852415639404,76.9,80.6,71.6,4.8,0,Monday,9
2013-09-03,32411,14.437786553947731,76.2,82,72,6.7,0.99,Tuesday,9
2013-09-04,36798,15.071607152562633,73.3,82,66,10.4,0.09,Wednesday,9
2013-09-05,35825,14.598231681786464,74.3,82,66,9.3,0,Thursday,9
2013-09-06,35868,14.809940150923753,64.8,77,57,7.5,0,Friday,9
2013-09-07,34419,17.375818104341583,68.3,79,57,6.5,0,Saturday,9
2013-09-08,33196,17.081960175924806,73.9,80.1,61,8.7,0,Sunday,9
2013-09-09,35394,15.262479987191806,65.9,80.1,57.9,7.7,0,Monday,9
2013-09-10,36954,14.481477873392146,74.8,88,57.9,8.8,0,Tuesday,9
2013-09-11,35812,14.029129900591975,83.6,93.9,69.1,7.5,0,Wednesday,9
2013-09-12,31252,13.678643500149322,80.6,88,71.1,8.4,0,Thursday,9
2013-09-13,36501,14.655901208186078,71.3,86,68,9.4,1.3,Friday,9
2013-09-14,31607,16.690705118064567,61.6,77,55.9,10.8,0.03,Saturday,9
2013-09-15,31914,17.268670489440364,61.5,73,54,6.9,0,Sunday,9
2013-09-16,31287,13.804180650110272,65.8,73,54,6.9,0,Monday,9
2013-09-17,38283,13.883002028750797,58.2,72,48.9,10.1,0.02,Tuesday,9
2013-09-18,37957,13.932727384496486,61.8,71.1,48.9,5.0,0,Wednesday,9
2013-09-19,39200,14.114456207482995,65,77,55,5.4,0,Thursday,9
2013-09-20,39382,14.811446853892637,68.1,78.1,57,5.8,0,Friday,9
2013-09-21,31826,17.045906910492469,67.4,78.1,61,9.4,0,Saturday,9
2013-09-22,29758,16.50093868315523,66.3,75.9,61,12.9,0.98,Sunday,9
2013-09-23,35152,13.871636037778783,58.5,68,52,10.6,0.53,Monday,9
2013-09-24,38417,13.784679525557261,59.1,73,50,8.0,0,Tuesday,9
2013-09-25,38223,13.994420898411953,64.1,73,50,5.4,0,Wednesday,9
2013-09-26,38189,13.785808304311013,63.9,72,55,6.2,0,Thursday,9
2013-09-27,37412,14.230190402366439,61.5,69.1,57,6.4,0,Friday,9
2013-09-28,34931,17.024874753084653,64.4,73,57,7.3,0,Saturday,9
2013-09-29,32592,16.523521109474725,64.6,73,57.9,4.9,0,Sunday,9
2013-09-30,37148,13.728397221923121,63.9,73,57.9,4.1,0,Monday,9
2013-10-01,40575,13.706243992606289,68.9,81,57.9,5.5,0,Tuesday,10
2013-10-02,41383,13.913752023777876,73.9,84,62.1,6.0,0,Wednesday,10
2013-10-03,40456,13.724642409860921,72.6,84,64.9,4.3,0,Thursday,10
2013-10-04,40195,14.673060082099765,74,86,64.9,4.9,0,Friday,10
2013-10-05,34181,16.759140068069009,68.3,86,64,6.7,0.03,Saturday,10
