ride_date,num_rides,avg_duration_min,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in,month,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,days_since_launch,temp_f_squared
2013-07-01,16650,16.30998798798799,74.8,78.1,73.4,7.8,0.0,7,1,0,0,0,0,0,0,5595.04
2013-07-02,22745,15.96882611562981,76.1,82.9,73.0,8.0,0.73,7,0,0,0,0,1,0,1,5791.209999999999
2013-07-03,21864,16.238808086351995,78.5,84.9,73.9,8.8,0.06,7,0,0,0,0,0,1,2,6162.25
2013-07-04,22326,21.218473976529605,82.0,91.0,73.9,8.6,0.96,7,0,0,0,1,0,0,3,6724.0
2013-07-05,21842,18.040443488081063,84.4,93.0,75.9,9.0,0.0,7,0,0,0,0,0,0,4,7123.360000000001
2013-07-06,20467,19.326261787267303,87.0,95.0,77.0,9.3,0.0,7,0,1,0,0,0,0,5,7569.0
2013-07-07,20477,18.63832348488548,88.8,98.1,79.0,8.8,0.0,7,0,0,1,0,0,0,6,7885.44
2013-07-08,21615,21.49216439201172,83.7,98.1,75.0,8.9,0.0,7,1,0,0,0,0,0,7,7005.6900000000005
2013-07-09,26641,16.098854522477883,82.6,91.0,75.0,6.0,0.0,7,0,0,0,0,1,0,8,6822.759999999999
2013-07-10,25732,15.531954375874395,82.0,91.0,75.0,8.7,0.08,7,0,0,0,0,0,1,9,6724.0
2013-07-11,24417,16.828634421373085,82.3,91.0,75.0,7.6,0.02,7,0,0,0,1,0,0,10,6773.29
2013-07-12,19006,15.635127503595358,75.4,86.0,72.0,9.1,0.0,7,0,0,0,0,0,0,11,5685.160000000001
2013-07-13,26119,18.61566101305564,71.4,78.1,68.0,10.5,0.23,7,0,1,0,0,0,0,12,5097.960000000001
2013-07-14,29287,19.36267115102264,80.2,93.9,69.1,6.0,0.01,7,0,0,1,0,0,0,13,6432.040000000001
2013-07-15,28069,15.318282328072488,87.2,93.9,72.0,7.8,0.0,7,1,0,0,0,0,0,14,7603.84
2013-07-16,29842,15.128550923753997,86.5,93.9,79.0,7.9,0.0,7,0,0,0,0,1,0,15,7482.25
2013-07-17,30550,14.669449536279323,87.4,97.0,78.1,4.0,0.0,7,0,0,0,0,0,1,16,7638.760000000001
2013-07-18,28869,14.380492338956438,89.3,100.0,78.1,6.3,0.0,7,0,0,0,1,0,0,17,7974.49
2013-07-19,26591,14.671052862497335,92.5,100.0,82.9,8.9,0.0,7,0,0,0,0,0,0,18,8556.25
2013-07-20,25278,17.94782155761268,89.2,100.0,82.9,11.3,0.0,7,0,1,0,0,0,0,19,7956.64
2013-07-21,30297,18.70789902190535,82.2,95.0,77.0,7.6,0.0,7,0,0,1,0,0,0,20,6756.84
2013-07-22,25979,14.700189255424252,77.1,87.1,75.0,8.3,0.0,7,1,0,0,0,0,0,21,5944.409999999999
2013-07-23,32376,15.737208117123792,80.0,91.0,75.0,7.4,0.58,7,0,0,0,0,1,0,22,6400.0
2013-07-24,35271,15.592202753914924,79.9,91.0,75.0,7.8,0.31,7,0,0,0,0,0,1,23,6384.010000000001
2013-07-25,31084,14.937073199502423,68.0,82.9,64.0,11.7,0.0,7,0,0,0,1,0,0,24,4624.0
2013-07-26,34534,15.667923881778346,71.5,84.0,64.0,8.6,0.02,7,0,0,0,0,0,0,25,5112.25
2013-07-27,32470,18.91439841905349,76.9,84.0,64.9,8.5,0.0,7,0,1,0,0,0,0,26,5913.610000000001
2013-07-28,23508,17.54357310986331,74.8,84.0,71.1,7.6,0.0,7,0,0,1,0,0,0,27,5595.04
2013-07-29,34915,15.69145162060242,77.3,89.1,71.1,5.7,0.13,7,1,0,0,0,0,0,28,5975.29
